example_id,label
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,0
546,0
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,0
679,1
680,1
681,1
682,0
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,1
779,1
780,0
781,0
782,0
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,0
